dateiname	aktenzeichen	inAS	fundstelle	band	ersteSeite	letzteSeite	jahr	monat	tag	entscheidungsart	spruchkoerper	gruende	abwmeinungen	bvr	bvl	bvq	bvc	bve	bvf	bvo	bva	bvb	bvd	bvg	bvh	bvj	bvk	bvm	bvn	bvp	bvt	pbvs	pbvu	pbvv	vz	namenRichter	anzahlRichter	manuellErgaenzt
bs20010615_2bvb000101	2 BvB 1/01	1	BVerfGE 104, 38-39	104	38	39	2001	6	15	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio	7	0
bs20010615_2bvb000201	2 BvB 2/01	1	BVerfGE 104, 39-40	104	39	40	2001	6	15	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio	7	0
bs20010615_2bvb000301	2 BvB 3/01	1	BVerfGE 104, 41-41	104	41	41	2001	6	15	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio	7	0
bs20010703_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	1	BVerfGE 104, 42-51	104	42	51	2001	7	3	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	8	0
bs20010703a_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	1	BVerfGE 104, 42-51	104	42	51	2001	7	3	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	8	0
bs20011001_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	1	BVerfGE 104, 63-65	104	63	65	2001	10	1	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	8	0
bs20011122_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	1	BVerfGE 104, 214-220	104	214	220	2001	11	22	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	8	0
bs20011204_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	0	NA	NA	NA	NA	2001	12	4	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	8	0
bs20020122_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	1	BVerfGE 104, 370-372	104	370	372	2002	1	22	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	8	0
bs20020611_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	0	NA	NA	NA	NA	2002	6	11	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Hassemer, Sommer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff	7	0
bs20021119_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	0	NA	NA	NA	NA	2002	11	19	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Hassemer, Sommer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff	7	0
bs20030318_2bvb000101	2 BvB 1/01;2 BvB 2/01;2 BvB 3/01;2 BvB 1/01;2 BvB 2/01;2 BvB 3/01	1	BVerfGE 107, 339-395	107	339	395	2003	3	18	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Hassemer, Sommer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff	7	0
bs20140128_2bvb000113	2 BvB 1/13	1	BVerfGE 135, 234-237	135	234	237	2014	1	28	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	8	0
bs20150319_2bvb000113	2 BvB 1/13	1	BVerfGE 138, 397-400	138	397	400	2015	3	19	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	8	entscheidungsart
bs20151202_2bvb000113	2 BvB 1/13	1	BVerfGE 140, 316-317	140	316	317	2015	12	2	Beschluss	II	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	8	0
bs20160301_2bvb000113	2 BvB 1/13	1	BVerfGE 142, 5-9	142	5	9	2016	3	1	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf	6	0
bs20160301a_2bvb000113	2 BvB 1/13	1	BVerfGE 142, 9-17	142	9	17	2016	3	1	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Voßkuhle, Landau, Hermanns, Müller, Kessal-Wulf, König, Maidowski	7	0
bs20160301b_2bvb000113	2 BvB 1/13	1	BVerfGE 142, 18-24	142	18	24	2016	3	1	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Voßkuhle, Landau, Huber, Hermanns, Kessal-Wulf, König, Maidowski	7	0
bs20160301c_2bvb000113	2 BvB 1/13	1	BVerfGE 142, 1-5	142	1	5	2016	3	1	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	8	0
bs20170117_2bvb000113	2 BvB 1/13	1	BVerfGE 144, 20-367	144	20	367	2017	1	17	Urteil	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Voßkuhle, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	7	1
bs20210623_2bvb000119	2 BvB 1/19	1	BVerfGE 158, 262-271	158	262	271	2021	6	23	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	König, Hermanns, Müller, Kessal-Wulf, Maidowski, Langenfeld, Wallrabenstein	7	inAS, fundstelle, band, ersteSeite, letzteSeite
bs20210623a_2bvb000119	2 BvB 1/19	1	BVerfGE 158, 271-281	158	271	281	2021	6	23	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	König, Huber, Hermanns, Kessal-Wulf, Maidowski, Langenfeld, Wallrabenstein	7	inAS, fundstelle, band, ersteSeite, letzteSeite
BVerfGE1,001	2 BvQ 1/51	1	BVerfGE 1, 1-3	1	1	3	1951	9	9	Beschluss	II	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Katz, Fröhlich, Wolff, Roediger, Klaas, Henneka, Friesenhahn, Rupp, Geiger, Leuser, Federer	11	namenRichter, anzahlRichter
BVerfGE1,003	1 BvR 121/51	1	BVerfGE 1, 3-3	1	3	3	1951	9	27	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,004	1 BvR 61/51	1	BVerfGE 1, 4-5	1	4	5	1951	9	27	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,005	1 BvR 70/51	1	BVerfGE 1, 5-7	1	5	7	1951	9	27	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,007	1 BvR 103/51	1	BVerfGE 1, 7-8	1	7	8	1951	10	3	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,009	1 BvR 23/51	1	BVerfGE 1, 9-10	1	9	10	1951	10	11	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,010	1 BvR 95/51	1	BVerfGE 1, 10-12	1	10	12	1951	10	11	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,012	1 BvR 41/51	1	BVerfGE 1, 12-13	1	12	13	1951	10	12	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,013	1 BvR 201/51	1	BVerfGE 1, 13-14	1	13	14	1951	10	12	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,014	2 BvG 1/51	1	BVerfGE 1, 14-66	1	14	66	1951	10	23	Urteil	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,066	2 BvG 1/51	1	BVerfGE 1, 66-69	1	66	69	1951	10	2	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,069	1 BvR 178/51	1	BVerfGE 1, 69-70	1	69	70	1951	10	24	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,070	1 BvR 24/51	1	BVerfGE 1, 70-73	1	70	73	1951	10	25	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,074	1 BvR 213/51	1	BVerfGE 1, 74-76	1	74	76	1951	11	13	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,076	PBvV 1/51	1	BVerfGE 1, 76-80	1	76	80	1951	11	22	Gutachten	Plenum	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	0	1, aktenzeichen
BVerfGE1,080	1 BvL 14/51	1	BVerfGE 1, 80-82	1	80	82	1951	11	23	Beschluss	I	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,082	1 BvR 208/51	1	BVerfGE 1, 82-85	1	82	85	1951	11	23	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,085	1 BvF 2/51	1	BVerfGE 1, 85-87	1	85	87	1951	11	27	Beschluss	I	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,087	1 BvR 166/51	1	BVerfGE 1, 87-89	1	87	89	1951	11	28	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,089	1 BvR 257/51	1	BVerfGE 1, 89-91	1	89	91	1951	11	29	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,091	1 BvR 222/51	1	BVerfGE 1, 91-97	1	91	97	1951	12	18	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,097	1 BvR 220/51	1	BVerfGE 1, 97-108	1	97	108	1951	12	19	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,108	1 BvL 16/51	1	BVerfGE 1, 108-109	1	108	109	1952	1	31	Beschluss	I	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,109	1 BvR 68/51	1	BVerfGE 1, 109-115	1	109	115	1952	1	31	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,115	2 BvE 1/51	1	BVerfGE 1, 115-117	1	115	117	1952	2	15	Beschluss	II	1	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,117	1 BvF 2/51	1	BVerfGE 1, 117-143	1	117	143	1952	2	20	Urteil	I	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,144	2 BvE 1/51	1	BVerfGE 1, 144-162	1	144	162	1952	3	6	Urteil	II	1	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,162	1 BvO 1/51	1	BVerfGE 1, 162-166	1	162	166	1952	3	6	Beschluss	I	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,167	1 BvR 267/51	1	BVerfGE 1, 167-184	1	167	184	1952	3	20	Urteil	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,184	1 BvL 12, 15, 16, 24, 28/51	1	BVerfGE 1, 184-201	1	184	201	1952	3	20	Urteil	I	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	fundstelle
BVerfGE1,202	1 BvL 14/52	1	BVerfGE 1, 202-208	1	202	208	1952	3	20	Beschluss	I	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,208	2 BvH 1/52	1	BVerfGE 1, 208-261	1	208	261	1952	4	5	Urteil	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,261	1 BvL 34/51	1	BVerfGE 1, 261-263	1	261	263	1952	4	24	Beschluss	I	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,263	1 BvR 36/52	1	BVerfGE 1, 263-264	1	263	264	1952	4	24	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,264	1 BvR 14, 25, 167/52	1	BVerfGE 1, 264-281	1	264	281	1952	4	30	Urteil	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,281	1 BvQ 6/52	1	BVerfGE 1, 281-283	1	281	283	1952	5	15	Beschluss	I	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,283	1 BvL 3/51	1	BVerfGE 1, 283-299	1	283	299	1952	5	20	Urteil	I	1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,299	2 BvH 2/52	1	BVerfGE 1, 299-322	1	299	322	1952	5	21	Urteil	II	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,322	1 BvR 213/51	1	BVerfGE 1, 322-332	1	322	332	1952	5	28	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,332	1 BvR 137/52	1	BVerfGE 1, 332-349	1	332	349	1952	6	13	Urteil	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,349	1 BvB 1/51	1	BVerfGE 1, 349-351	1	349	351	1952	7	15	Urteil	I	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,351	2 BvE 3/51	1	BVerfGE 1, 351-372	1	351	372	1952	7	29	Urteil	II	1	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,372	2 BvE 2/51	1	BVerfGE 1, 372-396	1	372	396	1952	7	29	Urteil	II	1	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,396	1 BvF 1/52	1	BVerfGE 1, 396-415	1	396	415	1952	7	30	Urteil	I	1	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
BVerfGE1,415	1 BvR 379/52	1	BVerfGE 1, 415-417	1	415	417	1952	9	10	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Höpker-Aschoff, Ellinghaus, Scheffler, Heiland, Scholtissek, Drath, Wessel, Ritterspach, Lehmann, Zweigert	10	namenRichter, anzahlRichter
BVerfGE1,418	1 BvR 612/52	1	BVerfGE 1, 418-429	1	418	429	1952	9	18	Beschluss	I	1	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0	0
